#	C	H	O	N	S
NC_019549_0	1718	3385	848	445	6
NC_019549_1	2799	5491	1409	779	22
NC_019549_2	2612	5032	1282	704	23
NC_019549_3	4085	7893	1999	1101	23
NC_019549_4	1312	2657	649	373	6
NC_019549_5	3367	6739	1674	937	29
NC_019549_6	539	1062	254	154	6
NC_019549_7	2416	4722	1119	648	14
NC_019549_8	656	1225	304	169	2
NC_019549_9	979	1903	455	265	4
CP012598_0	1447	2857	665	365	15
CP012598_1	1764	3513	869	479	10
CP012598_2	1736	3355	831	457	15
CP012598_3	3856	7468	1875	1024	17
CP012598_4	1204	2438	616	356	18
CP012598_5	876	1700	433	242	5
CP012598_6	1196	2417	592	337	11
CP012598_7	1016	2060	505	288	9
CP012598_8	718	1472	370	198	6
CP012598_9	1328	2610	641	372	13
CP012598_10	1839	3598	839	486	12
CP012598_11	1670	3300	838	470	13
CP012598_12	716	1433	352	215	5
CP012598_13	750	1467	367	203	5
CP012598_14	1134	2185	558	301	7
CP012598_15	2643	5245	1324	725	22
CP012598_16	1294	2555	624	373	7
CP012598_17	1375	2780	680	400	22
CP012598_18	1093	2180	550	308	13
CP012598_19	1314	2694	684	376	4
CP012598_20	632	1277	313	189	4
CP012598_21	3173	6218	1601	844	16
CP012598_22	1234	2403	609	335	7
CP012598_23	1041	1967	523	285	11
CP012598_24	6025	12261	3103	1679	31
CP012598_25	582	1105	285	163	3
CP012598_26	2075	4033	931	495	15
CP012598_27	1899	3790	938	524	12
CP012598_28	893	1736	439	224	6
CP012598_29	1642	3237	826	441	12
CP012598_30	2228	4391	1096	613	22
CP012598_31	2123	4281	1115	597	15
CP012598_32	613	1262	316	170	4
CP012598_33	520	1044	274	148	4
CP012598_34	513	1026	243	152	2
CP012598_35	1763	3605	922	507	13
CP012598_36	1764	3587	908	483	15
CP012598_37	1148	2345	597	323	8
CP012598_38	3258	6432	1581	888	26
CP012598_39	394	819	204	107	2
CP012598_40	492	982	229	138	2
CP012598_41	771	1505	377	217	8
CP012598_42	3539	6948	1773	1000	28
CP012598_43	2862	5370	1373	790	21
CP012598_44	2364	4679	1090	599	23
CP012598_45	1527	3099	768	441	15
CP012598_46	4494	8974	2177	1210	38
CP012598_47	601	1230	315	162	3
CP012598_48	754	1525	380	209	7
CP012598_49	1526	3047	770	421	11
CP012598_50	175	348	74	48	2
CP012598_51	805	1634	400	234	4
CP012598_52	2314	4615	1071	563	25
CP012598_53	1635	3240	823	438	19
CP012598_54	1475	3002	752	418	9
CP012598_55	2013	3985	1006	575	16
CP012598_56	746	1461	370	199	7
CP012598_57	1629	3243	830	433	18
CP012598_58	677	1294	392	164	5
CP012598_59	1320	2562	618	356	9
CP012598_60	809	1616	409	222	10
CP012598_61	742	1449	364	207	3
CP012598_62	2401	4869	1230	693	25
CP012598_63	1842	3695	858	489	17
CP012598_64	1816	3584	854	460	19
CP012598_65	1651	3326	822	480	16
CP012598_66	2141	4305	992	517	19
CP012598_67	1228	2480	612	342	10
CP012598_68	1649	3272	826	446	21
CP012598_69	876	1731	440	247	8
CP012598_70	1619	3231	814	443	17
CP012598_71	2148	4233	1046	627	16
CP012598_72	4309	8514	2145	1142	8
CP012598_73	877	1772	460	246	9
CP012598_74	1234	2502	631	358	9
CP012598_75	913	1809	415	263	11
CP012598_76	525	1077	256	151	10
CP012598_77	3768	7493	1898	1077	30
CP012598_78	2731	5236	1330	742	20
CP012598_79	1626	3109	768	431	17
CP012598_80	1126	2168	541	316	10
CP012598_81	1303	2566	649	372	10
CP012598_82	1629	3322	823	454	15
CP012598_83	737	1478	363	214	5
CP012598_84	1166	2374	585	324	14
CP012598_85	1542	3021	750	431	11
CP012598_86	1784	3667	940	493	11
CP012598_87	2095	4142	935	524	18
CP012598_88	2232	4418	1125	610	11
CP012598_89	1584	3114	765	434	8
CP012598_90	524	1062	263	142	3
CP012598_91	2880	5766	1430	754	20
CP012598_92	2490	4853	1228	677	14
CP012598_93	4092	8051	2067	1101	26
CP012598_94	1581	3147	797	431	11
CP012598_95	3620	7074	1645	876	33
CP012598_96	2610	5342	1394	752	17
CP012598_97	4673	9196	2278	1262	31
CP012598_98	691	1367	357	183	6
CP012598_99	757	1553	372	209	4
CP012598_100	1238	2510	595	296	12
CP012598_101	1447	2857	665	365	15
CP012598_102	1764	3513	869	479	10
CP012598_103	1736	3355	831	457	15
CP012598_104	3856	7468	1875	1024	17
CP012598_105	1204	2438	616	356	18
CP012598_106	876	1700	433	242	5
CP012598_107	1196	2417	592	337	11
CP012598_108	1016	2060	505	288	9
CP012598_109	718	1472	370	198	6
CP012598_110	1328	2610	641	372	13
CP012598_111	1839	3598	839	486	12
CP012598_112	1670	3300	838	470	13
CP012598_113	716	1433	352	215	5
CP012598_114	750	1467	367	203	5
CP012598_115	1134	2185	558	301	7
CP012598_116	2643	5245	1324	725	22
CP012598_117	1294	2555	624	373	7
CP012598_118	1375	2780	680	400	22
CP012598_119	1223	2499	634	335	9
CP012598_120	2062	4198	1080	566	22
CP012598_121	1966	3858	1008	534	14
CP012598_122	1140	2299	583	313	17
CP012598_123	3888	7614	2036	1084	20
CP012598_124	1174	2343	575	303	5
CP012598_125	1688	3316	839	476	11
CP012598_126	1559	3160	777	426	15
CP012598_127	2166	4450	1110	622	23
CP012598_128	2130	4067	1028	561	15
CP012598_129	2766	5509	1387	781	12
CP012598_130	3267	6372	1598	932	28
CP012598_131	545	1105	271	159	3
CP012598_132	820	1627	416	235	3
CP012598_133	1023	2095	539	315	9
CP012598_134	1495	2886	719	410	10
CP012598_135	1175	2335	562	325	4
CP012598_136	2305	4700	1139	656	11
CP012598_137	1625	3277	905	451	12
CP012598_138	868	1717	454	223	6
CP012598_139	4084	7964	2174	1112	14
CP012598_140	822	1627	468	215	6
CP012598_141	1199	2394	606	340	9
CP012598_142	1120	2257	560	319	9
CP012598_143	87	194	53	26	1
CP012598_144	3919	7936	1996	1094	36
CP012598_145	1476	2948	735	414	18
CP012598_146	2112	4174	1047	570	12
CP012598_147	2384	4635	1091	607	25
CP012598_148	1566	3141	796	421	8
CP012598_149	934	1915	484	257	8
CP012598_150	3005	6182	1628	846	16
CP012598_151	1798	3606	929	532	18
CP012598_152	3420	6560	1797	876	14
CP012598_153	4834	9434	2470	1260	26
CP012598_154	777	1613	455	211	7
CP012598_155	1071	2178	529	290	6
CP012598_156	4180	8164	2196	1176	16
CP012598_157	1598	3164	840	412	11
CP012598_158	852	1690	454	224	11
CP012598_159	768	1541	429	213	5
CP012598_160	1178	2290	554	334	9
CP012598_161	812	1584	360	212	5
CP012598_162	1702	3354	835	438	13
CP012598_163	774	1539	359	199	9
CP012598_164	2846	5477	1458	753	23
CP012598_165	2575	5097	1300	655	17
CP012598_166	2513	4910	1235	678	20
CP012598_167	2021	3856	973	554	30
CP012598_168	2076	4083	1004	599	21
CP012598_169	2850	5465	1464	737	21
CP012598_170	1940	3865	871	479	15
CP012598_171	1521	2959	737	399	15
CP012598_172	3540	6656	1689	960	29
CP012598_173	2359	4541	1060	559	22
CP012598_174	419	888	201	138	4
CP012598_175	4732	9214	2337	1280	38
CP012598_176	864	1645	381	211	7
CP012598_177	713	1417	376	187	5
CP012598_178	2003	3878	1001	526	15
CP012598_179	1479	2946	732	404	16
CP012598_180	1158	2308	575	326	4
CP012598_181	2759	5420	1339	758	14
CP012598_182	2063	4251	981	513	23
CP012598_183	2799	5709	1443	771	20
CP012598_184	407	791	175	103	4
CP012598_185	1717	3383	824	469	16
CP012598_186	458	968	238	130	3
CP012598_187	1381	2800	706	394	11
CP012598_188	2384	4858	1240	688	20
CP012598_189	905	1828	447	272	15
CP012598_190	1447	2917	733	417	12
CP012598_191	1261	2580	659	362	13
CP012598_192	1844	3667	943	515	12
CP012598_193	5198	10503	2677	1441	44
CP012598_194	672	1363	320	199	12
CP012598_195	939	1898	478	268	9
CP012598_196	1258	2498	633	338	8
CP012598_197	2603	5071	1284	701	29
CP012598_198	2020	3920	989	526	24
CP012598_199	1882	3673	944	509	24
CP012598_200	2680	5076	1166	626	31
CP012598_201	1192	2466	641	322	7
CP012598_202	1459	2961	765	413	12
CP012598_203	2012	4107	1032	555	26
CP012598_204	471	925	237	123	5
CP012598_205	2292	4464	1027	570	27
CP012598_206	3195	6178	1582	878	26
CP012598_207	917	1720	420	248	8
CP012598_208	3047	6133	1455	811	25
CP012598_209	802	1542	397	218	7
CP012598_210	1409	2723	697	373	14
CP012598_211	620	1212	313	168	4
CP012598_212	1363	2713	665	377	14
CP012598_213	1564	3179	779	421	12
CP012598_214	3989	7582	2024	1092	23
CP012598_215	1357	2674	648	392	18
CP012598_216	1109	2188	531	312	10
CP012598_217	4842	9597	2446	1389	27
CP012598_218	4033	7800	1932	1142	25
CP012598_219	1083	2134	508	310	5
CP012598_220	688	1338	320	204	4
CP012598_221	2007	4044	965	614	17
CP012598_222	1138	2226	568	312	9
CP012598_223	2737	5401	1378	773	23
CP012598_224	1447	2754	688	402	10
CP012598_225	1128	2333	563	327	8
CP012598_226	2763	5440	1224	710	26
CP012598_227	1663	3218	797	422	8
CP012598_228	2892	5551	1347	821	20
CP012598_229	219	413	97	57	4
CP012598_230	1023	1951	500	267	6
CP012598_231	2181	4401	1131	621	23
CP012598_232	1747	3501	890	487	15
CP012598_233	2506	5060	1304	722	20
CP012598_234	142	287	60	43	1
CP012598_235	1597	3135	778	439	13
CP012598_236	2808	5581	1396	763	30
CP012598_237	791	1650	406	228	4
CP012598_238	1688	3352	829	488	9
CP012598_239	768	1539	382	215	8
CP012598_240	1526	3102	770	450	9
CP012598_241	597	1234	298	174	4
CP012598_242	2836	5738	1423	804	17
CP012598_243	2337	4714	1200	678	20
CP012598_244	2093	4272	1088	590	16
CP012598_245	1899	3659	815	461	15
CP012598_246	2068	4204	1065	584	17
CP012598_247	2146	4206	950	534	22
CP012598_248	1696	3403	829	491	11
CP012598_249	2361	4719	1200	677	16
CP012598_250	1453	2923	747	383	13
CP012598_251	1373	2737	687	397	9
CP012598_252	1986	4068	1029	564	17
CP012598_253	1757	3626	944	490	15
CP012598_254	1518	2990	748	414	14
CP012598_255	818	1612	385	238	4
CP012598_256	4450	8926	2279	1272	41
CP012598_257	689	1319	327	187	2
CP012598_258	213	418	109	56	2
CP012598_259	302	590	163	84	5
CP012598_260	1007	2033	509	293	3
CP012598_261	1635	3296	842	452	19
CP012598_262	2045	4080	935	560	16
CP012598_263	686	1386	356	184	9
CP012598_264	1427	2885	738	415	7
CP012598_265	1505	2908	652	390	10
CP012598_266	1657	3079	791	445	10
CP012598_267	2428	4694	1097	596	31
CP012598_268	2332	4522	1044	564	24
CP012598_269	1289	2592	642	384	7
CP012598_270	4434	8645	2225	1219	28
CP012598_271	2917	6013	1537	785	20
CP012598_272	2262	4593	1145	609	16
CP012598_273	4165	8355	2119	1119	33
CP012598_274	553	1104	264	160	7
CP012598_275	1447	2991	714	369	12
CP012598_276	1569	3176	784	428	11
CP012598_277	1231	2530	620	354	7
CP012598_278	1355	2634	676	354	14
CP012598_279	1434	2717	707	389	14
CP012598_280	2593	5156	1277	742	35
CP012598_281	3936	7630	1915	1022	28
CP012598_282	890	1793	447	237	9
CP012598_283	1109	2181	543	305	9
CP012598_284	1370	2604	579	318	11
CP012598_285	1668	3310	914	454	15
CP012598_286	4139	7989	2174	1151	16
CP012598_287	1100	2190	549	304	7
CP012598_288	835	1683	459	211	5
CP012598_289	721	1405	361	197	13
CP012598_290	608	1219	312	173	6
CP012598_291	1417	2876	699	400	10
CP012598_292	1248	2515	633	335	15
CP012598_293	803	1572	388	218	4
CP012598_294	2416	4793	1164	721	19
CP012598_295	1502	2911	717	445	7
CP012598_296	751	1516	394	222	8
CP012598_297	1165	2316	577	322	9
CP012598_298	886	1720	415	262	5
CP012598_299	3928	8039	1954	1163	29
CP012598_300	4164	8290	2070	1178	31
CP012598_301	3580	6907	1855	961	20
CP012598_302	1286	2594	629	370	10
CP012598_303	3369	6801	1535	883	39
CP012598_304	810	1658	460	220	8
CP012598_305	4312	8321	2288	1199	15
CP012598_306	1233	2472	610	340	7
CP012598_307	772	1584	412	214	7
CP012598_308	738	1513	395	197	7
CP012598_309	804	1621	428	213	8
CP012598_310	2019	4001	1029	533	27
CP012598_311	528	1048	290	136	6
CP012598_312	1326	2638	637	360	7
CP012598_313	1082	2205	564	291	9
CP012598_314	2672	5155	1262	755	16
CP012598_315	2144	4473	1159	605	18
CP012598_316	1906	3885	945	571	18
CP012598_317	2201	4278	988	554	15
CP012598_318	1325	2666	675	366	8
CP012598_319	4574	9001	2180	1319	29
CP012598_320	1289	2588	658	352	15
CP012598_321	1184	2372	594	334	9
CP012598_322	1331	2745	701	363	12
CP012598_323	1143	2351	579	319	14
